n_patterns,memorized_patterns,label,noise,success,iterations,similarity
4,['a' 'm' 'e' 'o'],a,0.00,True,0,1.0
4,['a' 'o' 'm' 'i'],a,0.00,True,0,1.0
4,['a' 'u' 'm' 'i'],a,0.00,True,0,1.0
4,['a' 'i' 'm' 'o'],a,0.00,True,0,1.0
4,['a' 'm' 'e' 'u'],a,0.00,True,0,1.0
4,['a' 'i' 'o' 'u'],a,0.00,True,0,1.0
4,['a' 'i' 'e' 'o'],a,0.00,True,0,1.0
4,['a' 'e' 'o' 'u'],a,0.00,True,0,1.0
4,['a' 'i' 'u' 'm'],a,0.00,True,0,1.0
4,['a' 'o' 'm' 'u'],a,0.00,True,0,1.0
4,['a' 'u' 'i' 'e'],a,0.00,True,0,1.0
4,['a' 'e' 'm' 'i'],a,0.00,True,0,1.0
4,['a' 'o' 'i' 'm'],a,0.00,True,0,1.0
4,['a' 'm' 'u' 'e'],a,0.00,True,0,1.0
4,['a' 'i' 'm' 'u'],a,0.00,True,0,1.0
4,['a' 'e' 'u' 'i'],a,0.00,True,0,1.0
4,['a' 'm' 'u' 'e'],a,0.00,True,0,1.0
4,['a' 'u' 'i' 'e'],a,0.00,True,0,1.0
4,['a' 'o' 'e' 'u'],a,0.00,True,0,1.0
4,['a' 'i' 'm' 'o'],a,0.00,True,0,1.0
4,['a' 'i' 'e' 'm'],a,0.00,True,0,1.0
4,['a' 'i' 'u' 'm'],a,0.00,True,0,1.0
4,['a' 'o' 'e' 'i'],a,0.00,True,0,1.0
4,['a' 'u' 'e' 'o'],a,0.00,True,0,1.0
4,['a' 'm' 'i' 'e'],a,0.00,True,0,1.0
4,['a' 'e' 'm' 'o'],a,0.00,True,0,1.0
4,['a' 'e' 'i' 'u'],a,0.00,True,0,1.0
4,['a' 'm' 'u' 'i'],a,0.00,True,0,1.0
4,['a' 'i' 'e' 'u'],a,0.00,True,0,1.0
4,['a' 'm' 'e' 'o'],a,0.00,True,0,1.0
4,['a' 'i' 'm' 'e'],a,0.00,True,0,1.0
4,['a' 'e' 'm' 'i'],a,0.00,True,0,1.0
4,['a' 'i' 'o' 'u'],a,0.00,True,0,1.0
4,['a' 'm' 'i' 'o'],a,0.00,True,0,1.0
4,['a' 'o' 'e' 'i'],a,0.00,True,0,1.0
4,['a' 'u' 'e' 'm'],a,0.00,True,0,1.0
4,['a' 'e' 'o' 'i'],a,0.00,True,0,1.0
4,['a' 'o' 'e' 'i'],a,0.00,True,0,1.0
4,['a' 'm' 'u' 'o'],a,0.00,True,0,1.0
4,['a' 'e' 'u' 'o'],a,0.00,True,0,1.0
4,['a' 'o' 'm' 'i'],a,0.00,True,0,1.0
4,['a' 'u' 'o' 'e'],a,0.00,True,0,1.0
4,['a' 'm' 'o' 'e'],a,0.00,True,0,1.0
4,['a' 'e' 'm' 'i'],a,0.00,True,0,1.0
4,['a' 'm' 'i' 'u'],a,0.00,True,0,1.0
4,['a' 'i' 'o' 'm'],a,0.00,True,0,1.0
4,['a' 'm' 'o' 'i'],a,0.00,True,0,1.0
4,['a' 'i' 'm' 'u'],a,0.00,True,0,1.0
4,['a' 'i' 'e' 'm'],a,0.00,True,0,1.0
4,['a' 'i' 'e' 'm'],a,0.00,True,0,1.0
4,['a' 'm' 'o' 'e'],a,0.00,True,0,1.0
4,['a' 'm' 'u' 'i'],a,0.00,True,0,1.0
