label,noise,success,iterations,similarity
a,0.05,True,14,1.0
a,0.05,True,41,1.0
a,0.05,True,24,1.0
a,0.05,True,56,1.0
a,0.05,True,0,1.0
a,0.05,True,61,1.0
a,0.05,True,1,1.0
a,0.05,True,0,1.0
a,0.05,True,3,1.0
a,0.05,True,34,1.0
a,0.05,True,0,1.0
a,0.05,True,41,1.0
a,0.05,True,4,1.0
a,0.05,True,2,1.0
a,0.05,True,44,1.0
a,0.05,True,21,1.0
a,0.05,True,0,1.0
a,0.05,True,8,1.0
a,0.05,True,115,1.0
a,0.05,True,41,1.0
a,0.05,True,44,1.0
a,0.05,True,15,1.0
a,0.05,True,12,1.0
a,0.05,True,0,1.0
a,0.05,True,55,1.0
a,0.05,True,33,1.0
a,0.05,True,0,1.0
a,0.05,True,3,1.0
a,0.05,True,14,1.0
a,0.05,True,2,1.0
a,0.05,True,170,1.0
a,0.05,True,4,1.0
a,0.05,True,0,1.0
a,0.05,True,32,1.0
a,0.05,True,8,1.0
a,0.05,True,49,1.0
a,0.05,True,88,1.0
a,0.05,True,63,1.0
a,0.05,True,0,1.0
a,0.05,True,12,1.0
a,0.05,True,58,1.0
a,0.05,True,3,1.0
a,0.05,True,51,1.0
a,0.05,True,33,1.0
a,0.05,True,37,1.0
a,0.05,True,0,1.0
a,0.05,True,0,1.0
a,0.05,True,4,1.0
a,0.05,True,38,1.0
a,0.05,True,0,1.0
a,0.05,True,0,1.0
a,0.05,True,25,1.0
a,0.05,True,81,1.0
a,0.05,True,2,1.0
a,0.05,True,19,1.0
a,0.05,True,21,1.0
a,0.05,True,0,1.0
a,0.05,True,0,1.0
a,0.05,True,44,1.0
a,0.05,True,12,1.0
a,0.05,True,0,1.0
a,0.05,True,54,1.0
a,0.05,True,18,1.0
a,0.05,True,3,1.0
a,0.05,True,61,1.0
a,0.05,True,37,1.0
a,0.05,True,0,1.0
a,0.05,True,70,1.0
a,0.05,True,0,1.0
a,0.05,True,33,1.0
a,0.05,True,157,1.0
a,0.05,True,28,1.0
a,0.05,True,21,1.0
a,0.05,True,33,1.0
a,0.05,True,0,1.0
a,0.05,True,14,1.0
a,0.05,True,0,1.0
a,0.05,True,7,1.0
a,0.05,True,51,1.0
a,0.05,True,38,1.0
a,0.05,True,11,1.0
a,0.05,True,15,1.0
a,0.05,True,0,1.0
a,0.05,True,14,1.0
a,0.05,True,64,1.0
a,0.05,True,3,1.0
a,0.05,True,5,1.0
a,0.05,True,17,1.0
a,0.05,True,52,1.0
a,0.05,True,24,1.0
a,0.05,True,0,1.0
a,0.05,True,0,1.0
a,0.05,True,6,1.0
a,0.05,True,3,1.0
a,0.05,True,0,1.0
a,0.05,True,0,1.0
a,0.05,True,0,1.0
a,0.05,True,45,1.0
a,0.05,True,67,1.0
a,0.05,True,0,1.0
a,0.05,True,1,1.0
a,0.05,True,48,1.0
a,0.05,True,41,1.0
a,0.05,True,47,1.0
a,0.05,True,23,1.0
a,0.05,True,17,1.0
a,0.05,True,56,1.0
a,0.05,True,16,1.0
a,0.05,True,8,1.0
a,0.05,True,46,1.0
a,0.05,True,4,1.0
a,0.05,True,0,1.0
a,0.05,True,25,1.0
a,0.05,True,87,1.0
a,0.05,True,11,1.0
a,0.05,True,24,1.0
a,0.05,True,8,1.0
a,0.05,True,36,1.0
a,0.05,True,70,1.0
a,0.05,True,39,1.0
a,0.05,True,15,1.0
a,0.05,True,0,1.0
a,0.05,True,35,1.0
a,0.05,True,21,1.0
a,0.05,True,75,1.0
a,0.05,True,68,1.0
a,0.05,True,139,1.0
a,0.05,True,0,1.0
a,0.05,True,28,1.0
a,0.05,True,20,1.0
a,0.05,True,45,1.0
a,0.05,True,29,1.0
a,0.05,True,0,1.0
a,0.05,True,0,1.0
a,0.05,True,0,1.0
a,0.05,True,11,1.0
a,0.05,True,25,1.0
a,0.05,True,1,1.0
a,0.05,True,36,1.0
a,0.05,True,65,1.0
a,0.05,True,56,1.0
a,0.05,True,11,1.0
a,0.05,True,1,1.0
a,0.05,True,0,1.0
a,0.05,True,20,1.0
a,0.05,True,39,1.0
a,0.05,True,0,1.0
a,0.05,True,20,1.0
a,0.05,True,0,1.0
a,0.05,True,0,1.0
a,0.05,True,0,1.0
a,0.05,True,0,1.0
a,0.05,True,37,1.0
a,0.05,True,42,1.0
a,0.05,True,54,1.0
a,0.05,True,30,1.0
a,0.05,True,5,1.0
a,0.05,True,40,1.0
a,0.05,True,0,1.0
a,0.05,True,11,1.0
a,0.05,True,16,1.0
a,0.05,True,0,1.0
a,0.05,True,0,1.0
a,0.05,True,54,1.0
a,0.05,True,57,1.0
a,0.05,True,0,1.0
a,0.05,True,0,1.0
a,0.05,True,0,1.0
a,0.05,True,0,1.0
a,0.05,True,24,1.0
a,0.05,True,0,1.0
a,0.05,True,33,1.0
a,0.05,True,0,1.0
a,0.05,True,0,1.0
a,0.05,True,0,1.0
a,0.05,True,47,1.0
a,0.05,True,0,1.0
a,0.05,True,10,1.0
a,0.05,True,0,1.0
a,0.05,True,16,1.0
a,0.05,True,33,1.0
a,0.05,True,21,1.0
a,0.05,True,73,1.0
a,0.05,True,38,1.0
a,0.05,True,113,1.0
a,0.05,True,13,1.0
a,0.05,True,46,1.0
a,0.05,True,29,1.0
a,0.05,True,8,1.0
a,0.05,True,11,1.0
a,0.05,True,3,1.0
a,0.05,True,0,1.0
a,0.05,True,12,1.0
a,0.05,True,29,1.0
a,0.05,True,29,1.0
a,0.05,True,57,1.0
a,0.05,True,45,1.0
a,0.05,True,148,1.0
a,0.05,True,36,1.0
a,0.05,True,0,1.0
a,0.06,True,6,1.0
a,0.06,True,10,1.0
a,0.06,True,0,1.0
a,0.06,True,7,1.0
a,0.06,True,0,1.0
a,0.06,True,64,1.0
a,0.06,True,0,1.0
a,0.06,True,0,1.0
a,0.06,True,36,1.0
a,0.06,True,1,1.0
a,0.06,True,0,1.0
a,0.06,True,17,1.0
a,0.06,True,0,1.0
a,0.06,True,25,1.0
a,0.06,True,11,1.0
a,0.06,True,12,1.0
a,0.06,True,44,1.0
a,0.06,True,0,1.0
a,0.06,True,51,1.0
a,0.06,True,14,1.0
a,0.06,True,27,1.0
a,0.06,True,11,1.0
a,0.06,True,22,1.0
a,0.06,True,15,1.0
a,0.06,True,16,1.0
a,0.06,True,51,1.0
a,0.06,True,21,1.0
a,0.06,True,45,1.0
a,0.06,True,50,1.0
a,0.06,True,0,1.0
a,0.06,True,58,1.0
a,0.06,True,29,1.0
a,0.06,True,0,1.0
a,0.06,True,31,1.0
a,0.06,True,65,1.0
a,0.06,True,0,1.0
a,0.06,True,0,1.0
a,0.06,True,0,1.0
a,0.06,True,98,1.0
a,0.06,True,34,1.0
a,0.06,True,19,1.0
a,0.06,True,7,1.0
a,0.06,True,2,1.0
a,0.06,True,0,1.0
a,0.06,True,35,1.0
a,0.06,True,13,1.0
a,0.06,True,41,1.0
a,0.06,True,0,1.0
a,0.06,True,24,1.0
a,0.06,True,0,1.0
a,0.06,True,26,1.0
a,0.06,True,78,1.0
a,0.06,True,79,1.0
a,0.06,True,7,1.0
a,0.06,True,79,1.0
a,0.06,True,0,1.0
a,0.06,True,56,1.0
a,0.06,True,0,1.0
a,0.06,True,35,1.0
a,0.06,True,34,1.0
a,0.06,True,62,1.0
a,0.06,True,43,1.0
a,0.06,True,34,1.0
a,0.06,True,15,1.0
a,0.06,True,0,1.0
a,0.06,True,6,1.0
a,0.06,True,27,1.0
a,0.06,True,20,1.0
a,0.06,True,43,1.0
a,0.06,True,75,1.0
a,0.06,True,220,1.0
a,0.06,True,55,1.0
a,0.06,True,57,1.0
a,0.06,True,42,1.0
a,0.06,True,26,1.0
a,0.06,True,0,1.0
