n_patterns,memorized_patterns,label,noise,success,iterations,similarity
2,['a' 'o'],a,0.00,True,0,1.0
2,['a' 'e'],a,0.00,True,0,1.0
2,['a' 'm'],a,0.00,True,0,1.0
2,['a' 'u'],a,0.00,True,0,1.0
2,['a' 'i'],a,0.00,True,0,1.0
2,['a' 'm'],a,0.00,True,0,1.0
2,['a' 'e'],a,0.00,True,0,1.0
2,['a' 'e'],a,0.00,True,0,1.0
2,['a' 'i'],a,0.00,True,0,1.0
2,['a' 'o'],a,0.00,True,0,1.0
2,['a' 'e'],a,0.00,True,0,1.0
2,['a' 'o'],a,0.00,True,0,1.0
2,['a' 'o'],a,0.00,True,0,1.0
2,['a' 'e'],a,0.00,True,0,1.0
2,['a' 'u'],a,0.00,True,0,1.0
2,['a' 'o'],a,0.00,True,0,1.0
2,['a' 'e'],a,0.00,True,0,1.0
2,['a' 'm'],a,0.00,True,0,1.0
2,['a' 'e'],a,0.00,True,0,1.0
2,['a' 'i'],a,0.00,True,0,1.0
2,['a' 'u'],a,0.00,True,0,1.0
2,['a' 'u'],a,0.00,True,0,1.0
2,['a' 'u'],a,0.00,True,0,1.0
2,['a' 'e'],a,0.00,True,0,1.0
2,['a' 'u'],a,0.00,True,0,1.0
2,['a' 'm'],a,0.00,True,0,1.0
2,['a' 'm'],a,0.00,True,0,1.0
2,['a' 'o'],a,0.00,True,0,1.0
2,['a' 'e'],a,0.00,True,0,1.0
2,['a' 'o'],a,0.00,True,0,1.0
2,['a' 'i'],a,0.00,True,0,1.0
2,['a' 'e'],a,0.00,True,0,1.0
2,['a' 'u'],a,0.00,True,0,1.0
2,['a' 'o'],a,0.00,True,0,1.0
2,['a' 'o'],a,0.00,True,0,1.0
2,['a' 'i'],a,0.00,True,0,1.0
2,['a' 'u'],a,0.00,True,0,1.0
2,['a' 'o'],a,0.00,True,0,1.0
2,['a' 'e'],a,0.00,True,0,1.0
2,['a' 'm'],a,0.00,True,0,1.0
2,['a' 'o'],a,0.00,True,0,1.0
2,['a' 'm'],a,0.00,True,0,1.0
2,['a' 'o'],a,0.00,True,0,1.0
2,['a' 'm'],a,0.00,True,0,1.0
2,['a' 'o'],a,0.00,True,0,1.0
2,['a' 'i'],a,0.00,True,0,1.0
2,['a' 'i'],a,0.00,True,0,1.0
2,['a' 'u'],a,0.00,True,0,1.0
2,['a' 'e'],a,0.00,True,0,1.0
2,['a' 'u'],a,0.00,True,0,1.0
2,['a' 'u'],a,0.00,True,0,1.0
2,['a' 'i'],a,0.00,True,0,1.0
2,['a' 'o'],a,0.00,True,0,1.0
2,['a' 'i'],a,0.00,True,0,1.0
2,['a' 'e'],a,0.00,True,0,1.0
2,['a' 'm'],a,0.00,True,0,1.0
2,['a' 'i'],a,0.00,True,0,1.0
2,['a' 'e'],a,0.00,True,0,1.0
2,['a' 'o'],a,0.00,True,0,1.0
2,['a' 'i'],a,0.00,True,0,1.0
2,['a' 'o'],a,0.00,True,0,1.0
2,['a' 'm'],a,0.00,True,0,1.0
2,['a' 'o'],a,0.00,True,0,1.0
2,['a' 'i'],a,0.00,True,0,1.0
2,['a' 'e'],a,0.00,True,0,1.0
2,['a' 'm'],a,0.00,True,0,1.0
2,['a' 'o'],a,0.00,True,0,1.0
2,['a' 'i'],a,0.00,True,0,1.0
2,['a' 'm'],a,0.00,True,0,1.0
2,['a' 'o'],a,0.00,True,0,1.0
2,['a' 'o'],a,0.00,True,0,1.0
2,['a' 'm'],a,0.00,True,0,1.0
2,['a' 'i'],a,0.00,True,0,1.0
2,['a' 'm'],a,0.00,True,0,1.0
2,['a' 'e'],a,0.00,True,0,1.0
2,['a' 'u'],a,0.00,True,0,1.0
2,['a' 'm'],a,0.00,True,0,1.0
